"","Group","Temp","C2H5OH.","C2H4.","C4.","CH3CHO.","C4.12.","Phen.","Other.","m","m1","T'","TT","logalpha","ab","wt","ml"
"1","A1 ",523,2.07,1.17,34.05,2.41,52.59,0,9.78,0.729460653166379,1.72563838818343,0.004,0.00191204588910134,0.727548607277278,1,1,1.68
"2","A1 ",548,5.85,1.63,37.43,1.42,53.21,0,6.31,1.76826647876201,2.7646185076927,0.00363636363636364,0.00182481751824818,1.76644166124377,1,1,1.68
"3","A1 ",573,14.97,3.02,46.94,4.71,35.16,1,9.17,2.70779339912962,3.70430451971068,0.00333333333333333,0.00174520069808028,2.70604819843154,1,1,1.68
"4","A1 ",598,19.68,7.97,49.7,14.69,15.16,2.13,10.35,2.98127513242678,3.97793204823704,0.00307692307692308,0.00167224080267559,2.97960289162411,1,1,1.68
"5","A1 ",623,36.8,12.46,47.21,18.66,9.22,1.69,10.76,3.60710298161148,4.60389399628079,0.00285714285714286,0.00160513643659711,3.60549784517489,1,1,1.68
"6","A2 ",523,4.6,0.61,18.07,0.94,72.99,0,7.39,1.52796834938415,2.5241460844012,0.004,0.00191204588910134,1.52605630349505,1,2,1.68
"7","A2 ",548,17.2,0.51,17.28,1.43,72.62,0,8.16,2.84673420133766,3.84308623026835,0.00363636363636364,0.00182481751824818,2.84490938381941,1,2,1.68
"8","A2 ",573,38.92,0.85,19.6,2.21,67.5,0,9.84,3.66325345801588,4.65976457859695,0.00333333333333333,0.00174520069808028,3.6615082573178,1,2,1.68
"9","A2 ",598,56.38,1.43,30.62,3.79,51.21,0,12.95,4.03378672648864,5.0304436422989,0.00307692307692308,0.00167224080267559,4.03211448568597,1,2,1.68
"10","A2 ",623,67.88,2.76,39.1,4.2,36.92,1.87,15.15,4.21934657680262,5.21613759147193,0.00285714285714286,0.00160513643659711,4.21774144036603,1,2,1.68
"11","A3 ",523,9.7,0.13,5.5,1.23,85.09,3.97,4.08,2.27403793139844,3.27021566641549,0.004,0.00191204588910134,2.27212588550934,1,1,0.9
"12","A3 ",548,19.2,0.33,8.04,1.71,82.07,2.88,4.97,2.95673509655198,3.95308712548268,0.00363636363636364,0.00182481751824818,2.95491027903374,1,1,0.9
"13","A3 ",573,29.3,0.71,17.01,3.63,66.9,3.18,8.57,3.3793327167211,4.37584383730217,0.00333333333333333,0.00174520069808028,3.37758751602302,1,1,0.9
"14","A3 ",598,37.6,1.83,28.72,5.72,49.77,3.44,10.52,3.62867629119852,4.62533320700878,0.00307692307692308,0.00167224080267559,3.62700405039585,1,1,0.9
"15","A3 ",623,48.9,2.85,36.85,7.23,38.29,3.51,11.27,3.89138253291742,4.88817354758673,0.00285714285714286,0.00160513643659711,3.88977739648083,1,1,0.9
"16","A3 ",673,83.7,6.76,53.43,8.95,14.37,3.38,13.11,4.42872486159647,5.4257541967736,0.0025,0.00148588410104012,4.42723897749543,1,1,0.9
"17","A3 ",723,86.4,14.84,49.9,8.39,12.41,2.09,12.37,4.46037080167446,5.45760550602329,0.00222222222222222,0.00138312586445367,4.45898767581001,1,1,0.9
"18","A4 ",523,4,0.27,9.62,1.49,79.51,6.53,2.58,1.38820640700899,2.38438414202604,0.004,0.00191204588910134,1.38629436111989,1,0.5,1.68
"19","A4 ",548,12.1,0.36,8.62,1.66,81.44,5.18,2.74,2.49503027012094,3.49138229905164,0.00363636363636364,0.00182481751824818,2.4932054526027,1,0.5,1.68
"20","A4 ",573,29.5,0.54,10.72,2.41,76.32,5.88,4.13,3.38613546404385,4.38264658462492,0.00333333333333333,0.00174520069808028,3.38439026334577,1,0.5,1.68
"21","A4 ",598,43.3,1.02,18.89,4.42,59.65,7.64,8.38,3.76982487581112,4.76648179162137,0.00307692307692308,0.00167224080267559,3.76815263500844,1,0.5,1.68
"22","A4 ",623,60.5,2.23,27.25,6.8,45,8.73,9.99,4.10424850147339,5.1010395161427,0.00285714285714286,0.00160513643659711,4.1026433650368,1,0.5,1.68
"23","A4 ",673,88.4,3.67,41.02,10.82,16.47,10.51,17.51,4.48335785374464,5.48038718892177,0.0025,0.00148588410104012,4.4818719696436,1,0.5,1.68
"24","A5 ",523,14.8,0.14,1.96,3.27,88.42,3.36,2.85,2.69653922665917,3.69271696167622,0.004,0.00191204588910134,2.69462718077007,1,2,0.3
"25","A5 ",548,12.4,0.19,6.65,11.27,70.05,5.77,6.07,2.51952129012924,3.51587331905993,0.00363636363636364,0.00182481751824818,2.51769647261099,1,2,0.3
"26","A5 ",573,20.8,0.74,10.12,13.18,62.45,5.66,7.85,3.03669818740535,4.03320930798642,0.00333333333333333,0.00174520069808028,3.03495298670727,1,2,0.3
